n_proc,n_threads,batch_size,prompt_size,output_tokens,pp_throughput_tps,pp_avg_latency_sec,tg_throughput_tps,tg_avg_latency_sec,pp+tg_throughput_tps,concurrency,start,finish
8,10,1,512,256,166.6529530401037,24.578125,54.04841357946701,0.14801708984375,98.07333152425495,8,1717426157.4182642,1717426247.177138
5,16,1,512,256,163.84026765064004,15.625000000000004,50.675179743276544,0.09866875,93.64483246354192,5,1717426247.482475,1717426302.3093317
2,32,1,512,256,125.73678609771855,8.143999999999998,46.73664993153811,0.04279296875,80.40201005025126,2,1717426302.5456264,1717426333.2089503
2,40,1,512,256,152.68822148287126,6.7065,42.60453866684415,0.046943359375,81.99434153632626,2,1717426333.5765982,1717426363.84739
1,64,1,512,256,113.14917127071823,4.525,30.274361400189218,0.03303125,59.16339265079732,1,1717426364.6043506,1717426388.4887626
1,80,1,512,256,131.518109427177,3.893,29.19042189281642,0.0342578125,60.64913527600095,1,1717426388.6276228,1717426412.0970957
8,10,2,512,256,169.7665087259207,48.254625,91.56380430274245,0.17474169921875,131.94459357886825,16,1717426412.6626363,1717426522.2536707
5,16,2,512,256,166.62746019391452,30.7284,76.72176136564948,0.13034453124999998,119.32321364759257,10,1717426522.7637742,1717426600.8178694
2,32,2,512,256,130.1766074880768,15.7325,60.11683114065132,0.066537109375,93.68709972552608,4,1717426601.8543072,1717426646.3740087
2,40,2,512,256,157.3086613444799,13.018999999999998,67.30421818975694,0.059431640625000004,108.77416613554281,4,1717426646.8964932,1717426686.7099495
1,64,2,512,256,119.27781013395456,8.585,47.385469689958356,0.04220703125,79.21609076843734,2,1717426686.972596,1717426717.2978156
1,80,2,512,256,139.79522184300342,7.325,48.007501172058134,0.04166015625,85.38076709282936,2,1717426717.984077,1717426746.630145
8,10,4,512,256,166.2489375639024,98.55125,106.05738493038277,0.30172412109375,139.4715336420594,32,1717426747.0433648,1717426939.4263256
5,16,4,512,256,164.4499579815039,62.2682,101.85529978214217,0.19635859375,136.21489318304762,20,1717426940.2019992,1717427066.8258233
2,32,4,512,256,127.5695243717347,32.108000000000004,80.67121768504146,0.09916796875,106.8020233977089,8,1717427067.3292882,1717427136.84975
2,40,4,512,256,154.9017063078452,26.442999999999998,84.21292576739005,0.094998046875,120.94488188976379,8,1717427137.4047709,1717427199.9252617
1,64,4,512,256,118.75217441725619,17.246,57.10461744367611,0.070046875,87.32730683950197,4,1717427200.4719539,1717427246.7363605
1,80,4,512,256,139.55706984667802,14.675,60.228208446065175,0.0664140625,96.9788805758121,4,1717427247.5630298,1717427290.1924522
8,10,8,512,256,156.42159554576753,209.4855,81.87062176702959,0.78178662109375,119.51214767842207,64,1717427290.5951056,1717427716.104079
5,16,8,512,256,154.57733836782012,132.4912,84.28238080165646,0.47460703125000003,120.37334545426047,40,1717427717.009806,1717427985.454709
2,32,8,512,256,119.36820638787601,68.628,73.51854401336468,0.2176328125,98.76940141948863,16,1717427986.268562,1717428122.7911272
2,40,8,512,256,144.54542223746515,56.674499999999995,81.9797013776861,0.195173828125,114.86581227740542,16,1717428123.4445307,1717428242.0474606
1,64,8,512,256,110.08385293485273,37.208,56.376799625622816,0.14190234375,83.55205004419665,8,1717428242.5201502,1717428327.0212426
1,80,8,512,256,128.53422035334358,31.867,60.845539083157554,0.13148046875,93.7643072978665,8,1717428327.6200492,1717428404.1035438
5,16,16,512,256,135.1689538297009,303.0286,67.34650863055876,1.1879140625000002,100.86549953375973,80,1717429321.8982668,1717429943.8570473
2,32,16,512,256,104.41090953023439,156.9185,61.303599614721435,0.5219921875,84.56258064516129,32,1717429944.5459464,1717430247.0210295
2,40,16,512,256,124.67027251270278,131.4195,69.49469591592997,0.46046679687500003,98.44773369118914,32,1717430247.852664,1717430509.0463076
1,64,16,512,256,94.33114931543129,86.843,46.97139973853811,0.3406328125,70.6024304059295,16,1717430510.1168694,1717430694.9311996
1,80,16,512,256,107.6011716338513,76.133,49.01104423677504,0.32645703125,76.9413797853556,16,1717430695.3364985,1717430865.988877
2,32,32,512,256,80.9911329985975,404.5875,39.276228104908725,1.629484375,59.813811986613935,64,1717432699.0305824,1717433532.7545586
2,40,32,512,256,95.02272928810768,344.84400000000005,45.22014958208717,1.41530859375,69.38482235243796,64,1717433532.9560425,1717434253.1104193
1,64,32,512,256,71.1231501860124,230.361,34.324549678835844,0.93227734375,52.39817152213959,32,1717434253.6563969,1717434733.7177007
1,80,32,512,256,79.81488247472902,205.275,34.654449619486364,0.92340234375,55.64385757563408,32,1717434734.176193,1717435186.8345966
