n_proc,n_threads,batch_size,prompt_size,output_tokens,pp_throughput_tps,pp_avg_latency_sec,tg_throughput_tps,tg_avg_latency_sec,pp+tg_throughput_tps,concurrency,start,finish
12,16,1,512,256,191.28196931484467,32.17541666666667,26.610477497112264,0.4512731119791667,59.2691679421714,12,1717417645.9631782,1717417804.4049013
8,24,1,512,256,216.37377753844194,18.950499999999998,26.805767679121914,0.2991787109375,57.8896290503425,8,1717417805.3412023,1717417913.9956486
6,32,1,512,256,247.94992300915786,12.418166666666666,24.020566025249302,0.2498248697916667,59.56258724988366,6,1717417914.5809402,1717417994.327192
4,48,1,512,256,245.81889449083423,8.384,24.19596978431037,0.16534375,60.03400363487131,4,1717417994.6795006,1717418048.1247463
2,96,1,512,256,257.90568334442,3.971,23.908526374380955,0.083662109375,60.058651026392965,2,1717418048.8090498,1717418076.5512738
1,192,1,512,256,164.78918570968779,3.107,13.969986357435198,0.07158203125,35.83426651735723,1,1717418076.8884213,1717418100.5154428
12,16,2,512,256,181.16331282802338,67.92200000000001,52.83190756374162,0.45474088541666674,94.05233293872719,24,1717418100.9633386,1717418299.8537557
8,24,2,512,256,212.96181089749902,38.487375,51.81905552066727,0.30977880859375,95.19677719243879,16,1717418300.611492,1717418432.1913342
6,32,2,512,256,237.3280393499351,25.900333333333336,47.6390733574548,0.25205143229166665,98.5331223538468,12,1717418432.8810523,1717418528.7977624
4,48,2,512,256,257.7934800662459,15.910499999999999,44.584669402142,0.17945898437500002,98.88624219403849,8,1717418529.1395183,1717418593.497538
2,96,2,512,256,247.50241460852675,8.2835,44.70949470105366,0.08946875,97.29524292139102,4,1717418594.24887,1717418628.0646353
1,192,2,512,256,168.0617101591991,6.093,26.970080067425197,0.07415625,61.251345854767315,2,1717418628.3589122,1717418655.6707819
12,16,4,512,256,180.09184522467882,136.58858333333333,64.47807660553038,0.74466015625,111.72432604446061,48,1717418656.3832586,1717418989.1650636
8,24,4,512,256,206.86118458491282,79.23049999999999,72.1752275828909,0.44338183593749997,126.49979153476738,32,1717418989.7512426,1717419186.4857745
6,32,4,512,256,231.36141920987865,53.136,79.64812075332594,0.3013365885416667,139.16089723746893,24,1717419187.3903298,1717419322.2390828
4,48,4,512,256,252.88045735232862,32.47225,76.28517559133515,0.20980078125,138.3627969823218,16,1717419322.8492334,1717419413.9349604
2,96,4,512,256,240.81190439339332,17.0175,68.71808871262218,0.116478515625,128.2806138427811,8,1717419415.0892007,1717419465.2365153
1,192,4,512,256,160.79139514799402,12.737,42.99811043460004,0.09302734375,84.0446487196323,4,1717419466.178501,1717419504.9149148
12,16,8,512,256,170.61462586811422,288.14775000000003,124.64499001730852,0.7702809244791666,150.62823053506852,96,1717419505.3034222,1717419997.6535203
8,24,8,512,256,192.87799579108741,169.90887500000002,128.5134337793455,0.49837841796875004,161.15092817846207,64,1717419998.8612561,1717420306.3353534
6,32,8,512,256,222.6808234502049,110.39533333333334,145.28972633474592,0.33086783854166674,183.3081390723208,48,1717420307.2403588,1717420510.6798103
4,48,8,512,256,231.52584484866964,70.791,130.29465228939483,0.24567187499999998,180.37960747471487,32,1717420511.0497754,1717420649.5592012
2,96,8,512,256,223.0756388362356,36.739999999999995,82.84659159883259,0.19315429687500002,140.34606818571183,16,1717420650.589166,1717420740.3374996
1,192,8,512,256,145.50104792014494,28.151,48.9355093068266,0.16348046875,87.76892088797463,8,1717420740.7577245,1717420812.9051988
8,24,16,512,256,174.91877078349074,374.68475000000007,166.50062522078548,0.768779296875,170.83809795245924,128,1717421726.4611049,1717422304.4547799
6,32,16,512,256,196.4637148368184,250.194,178.46782982635702,0.537939453125,188.08835009413602,96,1717422304.7004106,1717422699.1751254
4,48,16,512,256,207.17067661457216,158.22424999999998,149.87876915514462,0.4274052734375,178.90173725991198,64,1717422700.019743,1717422977.0421433
2,96,16,512,256,187.3132340676965,87.5365,98.83548791226588,0.32377148437500003,142.29880664941203,32,1717422977.8991244,1717423152.8126466
1,192,16,512,256,120.06800726974264,68.228,57.08869933656687,0.280265625,87.78647768188833,16,1717423153.27827,1717423295.383956
4,48,32,512,256,165.71911499967848,395.49249999999995,111.98095961621759,1.14308984375,142.01306524823104,128,1717426035.7991326,1717426730.3047512
2,96,32,512,256,137.08079121527572,239.071,80.73918675774594,0.7926796875,110.65211175971348,64,1717426731.1288218,1717427177.5236905
1,192,32,512,256,88.01315040235504,186.154,48.065244814738755,0.66576171875,68.91968064073765,32,1717427178.4282174,1717427537.127533
